"batch_id","last_chng_mn_usid","last_chng_dt","load_table","stat_code","item_code","data_cycle"
BAR10129,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y067",I16E,M
BAR10130,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y066",I15B,M
BAR10131,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y066",I15B,Q
BAR10132,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y033",A002,M
BAR10133,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y033",A002,Q
BAR10134,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y032",I11AC2,M
BAR10135,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y032",I11AC2,Q
BAR10136,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y032",I11AC6,M
BAR10137,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y032",I11AC6,Q
BAR10138,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y032",I11AC4,M
BAR10139,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y032",I11AC4,Q
BAR10140,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y036","20T23",M
BAR10141,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y036","20T23",Q
BAR10142,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y035",I32AI11C,M
BAR10143,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y035",I32AI11C,Q
BAR10144,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y018",I35AAA,A
BAR10145,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y018",I35AAA,M
BAR10146,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y018",I35AAA,Q
BAR10147,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y020",I42A,A
BAR10148,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y020",I42A,M
BAR10149,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y020",I42A,Q
BAR10150,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y104",I48AI37D,M
BAR10151,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y104",I48AI37D,Q
BAR10152,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y103","1I47AA",M
BAR10153,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y037",I43AA1,M
BAR10154,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y038",I51AB3,M
BAR10155,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y038",I51AB3,Q
BAR10156,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y038",I51A3,M
BAR10157,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y038",I51A3,Q
BAR10158,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y100",G0T3,M
BAR10159,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y100",G0T3,Q
BAR10160,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y100",G11T3,M
BAR10161,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y100",G11T3,Q
BAR10162,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y028",I35D,A
BAR10163,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y028",I35A,A
BAR10164,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y028",I35E,A
BAR10165,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y027",I61BI28A,A
BAR10166,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y027",I61BI28A,M
BAR10167,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y027",I61BI28A,Q
BAR10168,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y027",I61EI28A,A
BAR10169,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y027",I61EI28A,M
BAR10170,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y027",I61EI28A,Q
BAR10171,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y027",I61BCI28A,A
BAR10172,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y027",I61BCI28A,M
BAR10173,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y027",I61BCI28A,Q
BAR10174,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y027",I61BAI28A,A
BAR10175,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y027",I61BAI28A,M
BAR10176,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y027",I61BAI28A,Q
BAR10177,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y107",AI70B,A
BAR10178,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y107",AI70B,Q
BAR10179,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y088",A70A,A
BAR10180,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y088",A70A,Q
BAR10181,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y102",A10001,A
BAR10182,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y102",A10001,Q
BAR10183,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y031",I38B20,A
BAR10184,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y031",I38B10,A
BAR10185,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y040","1I36DI36B",Q
BAR10186,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y040","1I36WI36B",Q
BAR10187,"8150918",2023-10-06 09:21:51.281,MKBSSD,"902Y003","010102",A
BAR10188,"8150918",2023-10-06 09:21:51.281,MKBSSD,"902Y003","010102",M
BAR10189,"8150918",2023-10-06 09:21:51.281,MKBSSD,"902Y003","010102",Q
BAR10190,"8150918",2023-10-06 09:21:51.281,MKBSSD,"902Y003","040101",A
BAR10191,"8150918",2023-10-06 09:21:51.281,MKBSSD,"902Y003","040101",M
BAR10192,"8150918",2023-10-06 09:21:51.281,MKBSSD,"902Y003","040101",Q
BAR60001,bar60000,2025-10-17 03:04:08.742,BTAPDT,"25","1398",D
BAR60002,bar60000,2025-10-17 03:04:08.742,BTAPDT,"26","1399",D
BAR60003,bar60000,2025-10-17 03:04:08.742,BTAPDT,"27","1400",D
BAR60004,bar60000,2025-10-17 03:04:08.742,BTAPDT,"28","1401",D
BAR60005,bar60000,2025-10-17 03:04:08.742,BTAPDT,"29","1402",D
BAR60006,bar60000,2025-10-17 03:04:08.742,BTAPDT,"30","1403",D
BAR60007,bar60000,2025-10-17 03:04:08.742,BTAPDT,"31","1404",D
BAR60008,bar60000,2025-10-17 03:04:08.742,BTAPDT,"32","1405",D
BAR60009,bar60000,2025-10-17 03:04:08.742,BTAPDT,"33","1406",D
BAR60010,bar60000,2025-10-17 03:04:08.742,BTAPDT,"34","1407",D
